Date,Description,Amount,Type
2026-04-01,Zomato Food Delivery,450.00,debit
2026-04-02,HDFC Salary,65000.00,credit
2026-04-03,Petrol Pump,2000.00,debit
2026-04-05,Amazon.in,1500.00,debit
2026-04-07,Airtel Broadband,1099.00,debit
2026-04-10,Stock Dividend,250.00,credit
2026-04-12,Uber Trip,350.00,debit
2026-04-15,Starbucks Coffee,450.00,debit
2026-04-18,Netflix India,799.00,debit
2026-04-20,Rent Payment,18000.00,debit
2026-04-22,Gym Subscription,1200.00,debit
2026-04-24,BigBasket Grocery,2500.00,debit
2026-04-25,Friend Reimbursement,1000.00,credit
2026-04-26,Local Tea Stall,20.00,debit
